date,reference_month,retail_sa_mom_pct,source_release_period,revision_status,verification_status,pit_use_status,source_url
2021-08-01,2021-08,0.52,2022-08,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901583.html
2021-09-01,2021-09,0.21,2022-09,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/xxgk/sjfb/zxfb2020/202210/t20221024_1889587.html
2021-10-01,2021-10,0.64,2022-10,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901655.html
2021-11-01,2021-11,-0.01,2022-11,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901682.html
2021-12-01,2021-12,-0.22,2022-12,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901713.html
2022-01-01,2022-01,0.06,2022-12,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901713.html
2022-02-01,2022-02,0.49,2023-01/02,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202303/t20230315_1937198.html
2022-03-01,2022-03,-0.11,2023-03,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202304/t20230418_1938710.html
2022-04-01,2022-04,-0.02,2023-04,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202305/t20230516_1939485.html
2022-05-01,2022-05,-0.05,2023-05,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202306/t20230615_1940627.html
2022-06-01,2022-06,2.56,2023-06,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202307/t20230715_1941269.html
2022-07-01,2022-07,1.82,2023-07,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202308/t20230815_1941958.html
2022-08-01,2022-08,-0.75,2023-08,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202309/t20230915_1942849.html
2022-09-01,2022-09,0.28,2023-09,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202310/t20231018_1943658.html
2022-10-01,2022-10,-0.58,2023-10,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202311/t20231115_1944530.html
2022-11-01,2022-11,-0.27,2023-11,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202312/t20231215_1945575.html
2022-12-01,2022-12,-0.15,2023-12,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946619.html
2023-01-01,2023-01,0.72,2023-12,LAST_PUBLISHED_BEFORE_ROLLOFF,OFFICIAL_NBS_VERIFIED,NOT_DIRECTLY_PIT_SAFE_REVISED_SERIES,https://www.stats.gov.cn/sj/zxfb/202401/t20240116_1946619.html
