季度,季度末实际交易日,SGE_Au9999收盘价(元/克),产品定义,来源
2016-Q1,2016-03-31,258.0,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2016-Q2,2016-06-30,283.45,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2016-Q3,2016-09-30,284.1,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2016-Q4,2016-12-30,263.9,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2017-Q1,2017-03-31,277.6,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2017-Q2,2017-06-30,271.74,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2017-Q3,2017-09-29,277.58,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2017-Q4,2017-12-29,273.13,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2018-Q1,2018-03-30,272.5,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2018-Q2,2018-06-29,270.36,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2018-Q3,2018-09-28,265.11,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2018-Q4,2018-12-28,283.99,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2019-Q1,2019-03-29,282.8,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2019-Q2,2019-06-28,312.3,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2019-Q3,2019-09-30,343.9,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2019-Q4,2019-12-31,343.62,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2020-Q1,2020-03-31,364.71,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2020-Q2,2020-06-30,397.64,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2020-Q3,2020-09-30,402.76,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2020-Q4,2020-12-31,391.5,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2021-Q1,2021-03-31,356.4,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2021-Q2,2021-06-30,371.4,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2021-Q3,2021-09-30,365.25,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2021-Q4,2021-12-31,373.18,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2022-Q1,2022-03-31,393.8,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2022-Q2,2022-06-30,391.22,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2022-Q3,2022-09-30,390.15,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2022-Q4,2022-12-30,410.5,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2023-Q1,2023-03-31,439.95,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2023-Q2,2023-06-30,448.46,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2023-Q3,2023-09-28,469.58,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
2023-Q4,2023-12-29,479.59,上金所Au9999现货合约收盘价(区别于上海金基准价SHAU早盘第1轮),用户手工抓取(上金所官网); 本文件核验通过
