口径,月份,M1可比余额(亿元),M1可比同比(%),来源,核验
新口径(M0+单位活期+个人活期+非银支付机构备付金),2024-01,1120120,3.3,中国人民银行《金融统计数据报告》注5(2024年各月末M1可比余额和增速),双源一致(cnafc文本 + 人行报告转载图片vision逐月核对)
新口径(M0+单位活期+个人活期+非银支付机构备付金),2024-02,1093158,2.6,中国人民银行《金融统计数据报告》注5(2024年各月末M1可比余额和增速),双源一致(cnafc文本 + 人行报告转载图片vision逐月核对)
新口径(M0+单位活期+个人活期+非银支付机构备付金),2024-03,1117433,2.3,中国人民银行《金融统计数据报告》注5(2024年各月末M1可比余额和增速),双源一致(cnafc文本 + 人行报告转载图片vision逐月核对)
新口径(M0+单位活期+个人活期+非银支付机构备付金),2024-04,1075084,0.6,中国人民银行《金融统计数据报告》注5(2024年各月末M1可比余额和增速),双源一致(cnafc文本 + 人行报告转载图片vision逐月核对)
新口径(M0+单位活期+个人活期+非银支付机构备付金),2024-05,1064391,-0.8,中国人民银行《金融统计数据报告》注5(2024年各月末M1可比余额和增速),双源一致(cnafc文本 + 人行报告转载图片vision逐月核对)
新口径(M0+单位活期+个人活期+非银支付机构备付金),2024-06,1089170,-1.7,中国人民银行《金融统计数据报告》注5(2024年各月末M1可比余额和增速),双源一致(cnafc文本 + 人行报告转载图片vision逐月核对)
新口径(M0+单位活期+个人活期+非银支付机构备付金),2024-07,1051800,-2.6,中国人民银行《金融统计数据报告》注5(2024年各月末M1可比余额和增速),双源一致(cnafc文本 + 人行报告转载图片vision逐月核对)
新口径(M0+单位活期+个人活期+非银支付机构备付金),2024-08,1049684,-3.0,中国人民银行《金融统计数据报告》注5(2024年各月末M1可比余额和增速),双源一致(cnafc文本 + 人行报告转载图片vision逐月核对)
新口径(M0+单位活期+个人活期+非银支付机构备付金),2024-09,1055410,-3.3,中国人民银行《金融统计数据报告》注5(2024年各月末M1可比余额和增速),双源一致(cnafc文本 + 人行报告转载图片vision逐月核对)
新口径(M0+单位活期+个人活期+非银支付机构备付金),2024-10,1054884,-2.3,中国人民银行《金融统计数据报告》注5(2024年各月末M1可比余额和增速),双源一致(cnafc文本 + 人行报告转载图片vision逐月核对)
新口径(M0+单位活期+个人活期+非银支付机构备付金),2024-11,1076379,-0.7,中国人民银行《金融统计数据报告》注5(2024年各月末M1可比余额和增速),双源一致(cnafc文本 + 人行报告转载图片vision逐月核对)
新口径(M0+单位活期+个人活期+非银支付机构备付金),2024-12,1113069,1.2,中国人民银行《金融统计数据报告》注5(2024年各月末M1可比余额和增速),双源一致(cnafc文本 + 人行报告转载图片vision逐月核对)
