报告,月份,社融存量(万亿元),存量同比(%),url,来源标注
2017-07存量,2017-07,168.01,13.2,http://dfjrjgj.hunan.gov.cn/tslm_71665/jryw/201708/t20170816_4395341.html,
2017-11存量,2017-11,173.67,12.5,https://www.safe.gov.cn/shanghai/2017/1215/664.html,
2018-12存量(年报),2018-12,200.75,9.8,https://www.tjifa.com/index.php?m=home&c=View&a=index&aid=1630,
2019-07存量,2019-07,214.13,10.7,https://jr.jl.gov.cn/jrzx/zyjrxxzz/gj/201908/t20190815_337790.html,
2019-11存量,2019-11,221.28,10.7,http://www.fangchan.com/data/142/2019-12-11/6610398671836352822.html,
2020-02存量,2020-02,257.18,10.7,http://app.www.gov.cn/govdata/gov/202003/12/455960/article.html,
2025-01存量,2025-01,415.2,8,https://jrj.sh.gov.cn/SCGK194/20250217/cad62bef05834e1a8128fc3d7ac94c79.html,
2025-03存量(补录),2025-03,423.0,8.4,百度百科社会融资规模词条引用(2025年3月末),百度百科词条(引用人行数据); 待正式报告核验
2025-10金融统计,2025-10,437.72,8.5,https://jrj.sh.gov.cn/SCGK194/20251114/b2c0531a820849f19a27c7997b246bbd.html,
2025-11金融统计,2025-11,440.07,8.5,https://jrj.sh.gov.cn/SCGK194/20251215/748c80529bf642ea8ab9f59ed97eab62.html,
"2025-12金融统计(年报,补录)",2025-12,442.12,8.3,"jrj.sh.gov.cn/ZXYW178/20260116/88e3368ecfee4e639ae9aa8dd93729c3.html(转载全文,requests被JS挑战,值取自多源转载)",搜索描述多源一致(上海金融办/中证网)
2026-01金融统计,2026-01,449.11,8.2,https://jrj.sh.gov.cn/SCGK194/20260214/50127c0c43954b5b87b86921577e0047.html,
2026-03金融统计(一季度),2026-03,456.46,7.9,https://jrj.sh.gov.cn/SCGK194/20260414/6ddd9e24f07e49438ec397fa2f7fec1c.html,
2026-04金融统计,2026-04,456.89,7.8,https://jrj.sh.gov.cn/SCGK194/20260515/b17505670cc6448e99b4da8f4fec3781.html,
2026-05金融统计(补录),2026-05,458.81,7.7,"jrj.sh.gov.cn/SCGK194/20260615/04468130967a438aa8ba82b8024269af.html(转载全文,requests被JS挑战)",搜索描述多源一致(上海金融办/中财协/中证网/人民日报)
"2026-06金融统计(半年,补录)",2026-06,462.06,7.4,jrj.sh.gov.cn/SCGK194/20260716/cc6fc2c32b3b41f1b92b65ea4f118d4f.html(转载全文),搜索描述(上海金融办转载全文)
2026-07金融统计,2026-07,463.27,7.4,https://jrj.sh.gov.cn/SCGK194/20260817/2918b201c7c94119b337ab099c4363ae.html,
