date,reference_month,afre_stock_yoy_pct,observation_status,frequency_status,definition_regime,vintage_status,available_date,pit_use_status,verification_status,source_url
2008-01-01,2008-01,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2008-02-01,2008-02,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2008-03-01,2008-03,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2008-04-01,2008-04,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2008-05-01,2008-05,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2008-06-01,2008-06,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2008-07-01,2008-07,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2008-08-01,2008-08,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2008-09-01,2008-09,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
2008-10-01,2008-10,,STRUCTURAL_NA,NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,HISTORICAL_PRE_REGULAR_STOCK_PUBLICATION,RETROSPECTIVE_HISTORICAL_RELEASE,2015-02-10,NOT_PIT_AVAILABLE_AT_REFERENCE_MONTH,STRUCTURAL_NA_NO_DIRECT_OFFICIAL_MONTHLY_OBSERVATION,https://www.stats.gov.cn/sj/ndsj/2015/html/CH1904.jpg
