source_file,source_role,source_owner,frequency,status,sha256,rows,notes
central_bank_balance.csv,DATA_SOURCE,中国人民银行(经akshare),,replaced+merged,7ae631fa71f4dbf4b2086b08d1ff845bf2e4e9deb087a8e5b71b9e5bf7e820eb,355,v2核心主序列并入v3(2026-08-26)
china_bond_yield.csv,DATA_SOURCE,中债/英为财情,,unchanged+merged,fa2ae66fa65a36387d98e1a4f3977f96fd45443219de956f1b8a94e07ffcc34a,4969,v2核心主序列并入v3(2026-08-26)
cpi_index.csv,DATA_SOURCE,国家统计局,,unchanged+merged,ab6c63d8667f7e9ff239a28851ca2e72614c5dd30f1d6996fff765643c5e0ee4,223,v2核心主序列并入v3(2026-08-26)
fr_fixing_rates.csv,DATA_SOURCE,官方网页补采,,v3,bbba3ddaffdfa20dc08954a52c17566e90e5ffd4c88ca1c39945cd04543405f2,5154,"FR/FDR回购定盘利率日度(5154天, 2006-01-04起, 手工2006-2025+既有2026段拼接)"
gold_au9999_sge.csv,DATA_SOURCE,上海黄金交易所(经akshare),,replaced+merged,6116e547edcf0c1626e2fb8449ee3dd83fde062cb6b610d310cc38f9d0c3e0ab,2515,v2核心主序列并入v3(2026-08-26)
hs300_pb_lg.csv,DATA_SOURCE,乐咕乐股,,unchanged+merged,d947b5554bdeabc0909fc5174f56e5b7d352bcae009ed58422c8edb3c280a5f4,4531,v2核心主序列并入v3(2026-08-26)
hs300_pe_lg.csv,DATA_SOURCE,乐咕乐股,,unchanged+merged,5fc067bb847da19ba05271307514685488167126a69c17ab2ec556a41f5b01f1,4531,v2核心主序列并入v3(2026-08-26)
hs300_total_return_510300.csv,DATA_SOURCE,华泰柏瑞/东方财富,,unchanged+merged,ef6f60bf2f2cbef8e8b84f2e7127916d47fd0e7868b18c48fe799eb51ce148c5,3477,v2核心主序列并入v3(2026-08-26)
hs300_total_return_H00300.csv,DATA_SOURCE,中证指数官方,,replaced+merged,b9b9b2828965c8cccd3748e17377eaaabadcb5867d78121aa5aa04162d1683fc,4533,v2核心主序列并入v3(2026-08-26)
income_annual_2013_2020.csv,DATA_SOURCE,手工补充数据(第四轮核查),,v4.1,42d86cd3258944c92faefa972aa5f80fc06036b0ace02a8a48552ad370e30284,8,"居民收入年度表(8年, '?'→NA, 2013缺中位数/消费/农村)"
index_000001_sina.csv,DATA_SOURCE,新浪财经/上交所,,unchanged+merged,122a74a270cb08f7e2b76591757ef293f466e22b5155bf06c0bece36e8c24670,4531,v2核心主序列并入v3(2026-08-26)
index_000300_sina.csv,DATA_SOURCE,新浪财经/中证,,unchanged+merged,94e5f73ffec4de6c683c8df20f143c146c6c0a78252f481358c0456b70c1b06b,4531,v2核心主序列并入v3(2026-08-26)
index_000985_combined.csv,DATA_SOURCE,中证/新浪+腾讯,,unchanged+merged,f077f1372003769bbaa8998b405f25c9d1c70d9b8e9ae71ff36c702020deb950,3468,v2核心主序列并入v3(2026-08-26)
index_000985_csindex.csv,DATA_SOURCE,中证指数官方,,new+merged,25e6588218aef0c6d9a980050393f5d5eaf0fa05939fc8b50ebf01899d16c180,4533,v2核心主序列并入v3(2026-08-26)
index_000985_sina.csv,DATA_SOURCE,新浪财经,,unchanged+merged,a0c00d4066310162ab525bb5d5712f23869da0a6c6f3fca24bf61bd3d1ad6144,1180,v2核心主序列并入v3(2026-08-26)
index_399001_sina.csv,DATA_SOURCE,新浪财经/深交所,,unchanged+merged,5e19590c6a755ee62172661b90dd9aa6eb9040b893493e0be00524562863e170,4531,v2核心主序列并入v3(2026-08-26)
lpr_rate.csv,DATA_SOURCE,全国银行间同业拆借中心,,unchanged+merged,2d0279d63c4e6b5ca928cc4487cb1a9b7a36cf6f2185272103073c6dd1f4c2b8,1575,v2核心主序列并入v3(2026-08-26)
lpr_rate_regime_events.csv,DATA_SOURCE,全国银行间同业拆借中心(派生),,new+merged,2faa698821564eac982150fa6ea4c10bc296b91a98d3fbb11c44e37e4131e8da,119,v2核心主序列并入v3(2026-08-26)
m1_new_caliber_2024.csv,DATA_SOURCE,官方网页补采,,v3,11f84eb0daec150cb166d755f0cd661d93767450a61921a54efea9226c53b30a,12,
macro_exports_yoy.csv,DATA_SOURCE,海关总署(经济日历转引),,new+merged,0a10d671a1cd033838b9587fadb1e83e0aa2746373b211000b65f2eddd16397b,512,v2核心主序列并入v3(2026-08-26)
macro_fixed_investment.csv,DATA_SOURCE,国家统计局,,replaced+merged,d7b7c0683c9348f8b1b4531c027950b0c51fc1e19f60c8487cab75fd8c4da190,160,v2核心主序列并入v3(2026-08-26)
macro_gdp_quarterly.csv,DATA_SOURCE,国家统计局,,unchanged+merged,034d0dbe44fbecce82b8ed15c2fb66e9725e27c44ae2ecd8b92967f3ea51216f,82,v2核心主序列并入v3(2026-08-26)
macro_imports_yoy.csv,DATA_SOURCE,海关总署(经济日历转引),,new+merged,65290787d39606da88be1f1ae8790b17971c3492dc9461cc9dd9bac8da0add55,351,v2核心主序列并入v3(2026-08-26)
macro_industrial_production.csv,DATA_SOURCE,官方网页补采,,v3,59ceb602f26aadd70c1d6e560f8d36a30d9970806cb61c22cde4aa18c7a01f70,204,
macro_pmi.csv,DATA_SOURCE,国家统计局,,unchanged+merged,5a0b730ea29dbd362e26d3787af9a7ed0790adb20143e611e0d166997ded4814,223,v2核心主序列并入v3(2026-08-26)
