variable_id,chain,channel_role,concept_cn,jp_source,jp_semantic,cn_source,cn_semantic,frequency,window,transform,phase,notes,sign_multiplier,core_gate_eligible,missing_threshold,aggregation_rule,source_table_or_series,definition_break_expected
investment_gdp,I,core,投资率(固定资本形成/GDP),ESRI(已有标准化),PRIMARY,NBS-WB(已有标准化),PRIMARY,annual,JP 1955-2000(68SNA)/2001+ bridge; CN 1978-2025,ratio,B1,H6-A 同口径连续性锚 I_ratio;v1.1 P0 outcome 保留,1,TRUE,0.85 obs,annual ratio,NBS 资本形成率表/ESRI 68SNA,CN 2017 SNA revision
i_q_gfcf,I,core,季度投资/GFCF(主链检验 I_q),ESRI 季度 GFCF(68SNA+93SNA bridge),PRIMARY,NBS 固定资产投资/地产开发投资(月度→季度),PROXY_NFC_INVESTMENT,quarterly,JP 1985Q1-2005Q4 primary; CN 2010Q1-latest,flow→ratio,B1,"v1.2 修订项三;I_ratio 高频代理,报相关与重叠",1,TRUE,0.85 obs,Q4 flow sum /GDP,ESRI 68SNA+93SNA/FRED JPNGFCF,JP 68SNA-93SNA 衔接 2001
i_mof_capex,I,aux,法人企業統計 设备投资/资本支出,MOF 法人統計 capex sheet,PRIMARY,,,quarterly→annual,JP,ratio,B2,CN 无同口径→JP-only 辅助,1,FALSE,0.70 obs,Q4 flow,MOF income.xls capex sheet,
nfc_credit_gdp,C,core,非金融企业信贷/GDP,BIS Total Credit,PRIMARY,BIS Total Credit,PRIMARY,quarterly,JP 1964Q4+; CN 2006Q1+,stock ratio,B1,WS_TC bulk 已下载(pre-B0 probe);%GDP 直接取 367 序列,1,TRUE,0.85 obs,Q4 stock %GDP,BIS WS_TC,BIS 定义 break 以官方为准
hh_credit_gdp,C,core,居民信贷/GDP,BIS Total Credit,PRIMARY,BIS Total Credit,PRIMARY,quarterly,同上,stock ratio,B1,同上,1,TRUE,0.85 obs,Q4 stock %GDP,BIS WS_TC,同上
bis_dsr,C,aux,偿债率 DSR(within-country z),BIS DSR,PRIMARY,BIS DSR 或无→INFEASIBLE_PREDICTED,PRIMARY,quarterly,JP 1999+; CN 如可得,demean/z,B2,起点 1999 不覆盖 JP 1985-1998→该段用 mof_interest_burden 分列(修订项四);禁跨国绝对比,1,FALSE,0.70 obs,Q4,BIS DSR,起点 1999 结构性
credit_impulse_jp,C,aux,信用脉冲 JP=Δ(Flow/GDP),BOJ FFA(NFC 借贷流量),SECONDARY,,,quarterly→annual,JP,Δ flow ratio,B2,与 MOF 互为 cross-check 不强制拼接,1,FALSE,0.70 obs,Δ(Q4 flow/GDP),BOJ FFA,FFA retroactive revision
credit_impulse_cn,C,aux,信用脉冲 CN,,,PBOC 社融(2002-2012 复用 annual_CN_credit_flow_level;2013+ 补齐),SECONDARY,annual→quarterly,CN 2002+,Δ flow ratio,B2,TSF flow≠CreditStock;v1.1 registry 行保留,1,FALSE,0.70 obs,Δ(annual flow/GDP),PBOC 社融,TSF 2018/2019 专项债纳入
boj_ffa,C,aux,资金循环(交叉核验),BOJ FFA,PRIMARY,,,quarterly,JP,level,B2,下载日期/vintage/series_code 治理;retroactive revision 不静默覆盖,-1,FALSE,0.70 obs,Q4 level,BOJ FFA,vintage 治理
cn_pboc_sector_credit,C,core,PBOC 部门信贷(住户+非金融企业),,,PBOC 信贷收支表(住户短/中长;企业短/中长;票据),PRIMARY,monthly→quarterly,CN 2010Q1+,stock,B1,Gate B3 supply/demand 区分的 demand 侧数据基础,1,TRUE,0.85 obs,Q4 stock,PBOC 信贷收支表,部门口径 2015 调整
cn_tsf_structure,C,aux,社融结构(人民币贷款/企业债/政府债/股权),,,PBOC 社融(flow+stock),PRIMARY,monthly→quarterly,CN,flow share,B2,2023 起范围纳入部分非存款类金融机构=definition break 入册,1,FALSE,0.70 obs,Q4 share,PBOC 社融,2023 范围扩大
land_price,P,core,土地价格(JP),MLIT 公示地价(衔接 land_price_yoy),PRIMARY,,,annual,JP 1975+,YoY,B1,JP 资产概念=土地;CN 无同概念官方长史→仅 JP;年度保留不插值季度,-1,TRUE,0.85 obs,annual YoY,MLIT 公示地価,昭和/平成/令和 mapping
residential_property_price,P,core,住宅价格(两国),BIS Residential Property Price(JP 1955Q1+),SECONDARY,NBS 70城新宅(2011+)+BIS CN(2005Q2+),PROXY,quarterly,JP 1955Q1+; CN 2005Q2+,index,B1,WS_SPP bulk 已下载(pre-B0 probe);两国不同资产概念→PROXY,-1,TRUE,0.85 obs,Q4 index,BIS WS_SPP,两国资产概念差异 PROXY
cn_property_price_70_2nd,P,aux,70城二手住宅价格,,,NBS 70城二手,PROXY,monthly→quarterly,CN 2011+,index,B1,建议书 §四;与新房同源不同资产,-1,FALSE,0.70 obs,Q avg index,NBS 70城二手,2011 起
