stage,artifact_id,artifact_name,artifact_sha256,artifact_role,parent_artifact_ids,parent_package,parent_package_sha256,artifact_internal_path,freeze_timestamp,run_started_at,run_completed_at,status,scope,verification_status
A0,h6a_spec_FROZEN_v1.1,h6a_spec_FROZEN_v1.1.md,409de94e5a8261fc1a2c0d3afbba989b9034a81385fdcde193c28193e66f1689,execution_spec,ROOT,A5_package(20260907),c1ccb42e94a09f19bf5016265a0700251cd554e74f60303980361b17be77ec2c,h6a_spec_FROZEN_v1.1.md,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_A5_PACKAGE
A0,h6b_spec_FROZEN_v1.1,h6b_spec_FROZEN_v1.1.md,96064f0edfc3cfdeca0d6e882f521c1726c6274d458482334769abfe05863cca,next_stage_spec,ROOT,A5_package(20260907),c1ccb42e94a09f19bf5016265a0700251cd554e74f60303980361b17be77ec2c,h6b_spec_FROZEN_v1.1.md,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN_FOR_NEXT_STAGE_NOT_EXECUTED,H6B_SHARED,VERIFIED_IN_A5_PACKAGE
A0,event_registry_v1.1,h6a_external_event_registry_v1.1.csv,e2d1a16c48f1540d139282e37d11194d828a7d9d915bab16c0482e24c4b0ffc5,registry,ROOT,JP-HIST_H6A0_v1.1_FROZEN_定档包_20260907.zip,5d16f398700210542cf9204a5fb77e1a63d5fc0c8f99e9547b3e531405759bca,04_event_registry_v1.1.csv,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_PARENT_PACKAGE
A0,event_operation_matrix_v1.1,h6a_event_operation_matrix_v1.1.csv,416d236da371f96f246ff98358020d6fe67946ce2adc9277c49e15b86370bb78,registry,ROOT,JP-HIST_H6A0_v1.1_FROZEN_定档包_20260907.zip,5d16f398700210542cf9204a5fb77e1a63d5fc0c8f99e9547b3e531405759bca,05_event_operation_matrix_v1.1.csv,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_PARENT_PACKAGE
A0,factor_registry_v1.1,h6a_global_factor_registry_v1.1.csv,328a75a35a654fa3f66a767ebb89237ca1f0b79a063468b18ce10f018f7fd9b7,registry,ROOT,JP-HIST_H6A0_v1.1_FROZEN_定档包_20260907.zip,5d16f398700210542cf9204a5fb77e1a63d5fc0c8f99e9547b3e531405759bca,06_global_factor_registry_v1.1.csv,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_PARENT_PACKAGE
A0,mechanism_registry_v1.1,h6b_mechanism_registry_v1.1.csv,93d9d5df72b89c7d50baccdca0ac536453051aa2b9c9d555ae6e7c924d3d6e46,registry,ROOT,JP-HIST_H6A0_v1.1_FROZEN_定档包_20260907.zip,5d16f398700210542cf9204a5fb77e1a63d5fc0c8f99e9547b3e531405759bca,07_mechanism_registry_v1.1.csv,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_PARENT_PACKAGE
A1,a1_parser_canonical,a1_parse_factors.py,9170d7c19d6f8c6f405261ec536d31eec2cab3a1625c5fa96d09c7209ec991a9,parser_engine,factor_registry_v1.1;raw_wb_gdp;raw_cboe_vix;raw_oxcgrt,A5_package(20260907),c1ccb42e94a09f19bf5016265a0700251cd554e74f60303980361b17be77ec2c,a1_parse_factors.py,2026-09-07,2026-09-07T04:32:52Z,2026-09-07T04:40:50Z,FROZEN,H6A,VERIFIED_IN_A5_PACKAGE
A1,global_factors,h6a_global_factors.csv,0dc016ef0411a10f66a6244e91252684f2fd4e36545622c2e4011bd7f45eca95,derived_input,a1_parser_canonical;factor_registry_v1.1;raw_wb_gdp;raw_cboe_vix;raw_oxcgrt,JP-HIST_H6A1_因子采集_审核包_20260907.zip,ee6830256fed0497b279173a05bdf0740a0a1cd0ff60d99eafc8396afc603b03,04_standardized_h6a_global_factors.csv,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_PARENT_PACKAGE
A1,event_mask,h6a_event_mask.csv,694f00b2bfc00f48bc3cdd938f29512159320297b3741ba1a9d6e2a6324580e6,derived_input,a1_parser_canonical;event_operation_matrix_v1.1,JP-HIST_H6A1_因子采集_审核包_20260907.zip,ee6830256fed0497b279173a05bdf0740a0a1cd0ff60d99eafc8396afc603b03,06_event_mask.csv,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_PARENT_PACKAGE
A2,leo_engine_v1.2,a2_leo_v1.2.py,f539c19393c49e7e65cd5ae2065424f00f56a03d63fd7ea4d902546281cc31ae,leo_engine,h4v03d_engine;h5_state_sequence;event_mask,A5_package(20260907),c1ccb42e94a09f19bf5016265a0700251cd554e74f60303980361b17be77ec2c,a2_leo_v1.2.py,2026-09-07,NA_NOT_RECORDED,NA_NOT_RECORDED,FROZEN,H6A,VERIFIED_IN_A5_PACKAGE
