display_name,variable_id,owner,start,end,months,reason,note,hint
储蓄存款(货币明细1978+),hh.deposit_hist,中国人民银行,2012-04,2026-07,172,SOURCE_GAP,中间缺月（官方有数据即可补）,长历史替代
"社融存量同比, 2020-02起",afre_yoy,派生特征（无需采集）,2008-01,2014-12,84,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,100*(AFRE_t/AFRE_t-12 - 1)
核心CPI同比,inf.cpi_core,国家统计局,2021-08,2026-06,59,SOURCE_GAP,中间缺月（官方有数据即可补）,Archive仅2026-07一条; 2021-08~2026-06未归档=SOURCE_GAP(Current State需补采)
PPIRM同比(工业生产者购进价格),inf.ppirm,国家统计局,2021-08,2026-06,59,SOURCE_GAP,中间缺月（官方有数据即可补）,Archive仅2026-07一条; 2021-08~2026-06未归档=SOURCE_GAP
社零季调环比(官方),gro.retail_sa_mom,国家统计局,2023-11,2026-07,33,SOURCE_GAP,中间缺月（官方有数据即可补）,"勿用主表普通环比当SA MoM; Archive仅2条(2023-07/2026-07), 2021-08~2026-06未归档=SOURCE_GAP"
社零季调环比(官方),gro.retail_sa_mom,国家统计局,2021-08,2023-06,23,SOURCE_GAP,中间缺月（官方有数据即可补）,"勿用主表普通环比当SA MoM; Archive仅2条(2023-07/2026-07), 2021-08~2026-06未归档=SOURCE_GAP"
全市场融资余额,mar.market_balance,交易所（沪深）,2025-05,2026-07,15,SOURCE_GAP,中间缺月（官方有数据即可补）,全市场口径
固投官方季调环比,gro.fai_official_samom,国家统计局,2021-09,2022-10,14,SOURCE_GAP,中间缺月（官方有数据即可补）,
出口同比,gro.export_yoy,国家统计局,2025-11,2026-07,9,SOURCE_GAP,中间缺月（官方有数据即可补）,升级核心前须验证增量
进口同比,gro.import_yoy,国家统计局,2025-11,2026-07,9,SOURCE_GAP,中间缺月（官方有数据即可补）,
FDR007回购定盘利率,rate.fdr007_mean,银行间市场/中债/人行,2026-01,2026-07,7,SOURCE_GAP,中间缺月（官方有数据即可补）,存款类机构资金价
出口同比,gro.export_yoy,国家统计局,2012-12,2013-03,4,SOURCE_GAP,中间缺月（官方有数据即可补）,升级核心前须验证增量
储蓄存款(货币明细1978+),hh.deposit_hist,中国人民银行,2010-07,2010-09,3,SOURCE_GAP,中间缺月（官方有数据即可补）,长历史替代
居民人均可支配收入(年度),hh.income_annual,国家统计局,2013-12,2014-02,3,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,衔接季度表FY段
PMI环比,delta_pmi,派生特征（无需采集）,2008-01,2008-02,2,NOT_RELEASED,首月发布滞后（通常 1 个月，价值低）,PMI_t - PMI_t-1 (ref连续)
固投官方累计同比,gro.fai_official_cum,国家统计局,2022-04,2022-05,2,SOURCE_GAP,中间缺月（官方有数据即可补）,Baseline暂不用FAI
