quarter,value,variable,country,unit,source_note
1964-Q2,322037.238116,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1965-Q1,340921.547063,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1965-Q2,370600.450434,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1966-Q1,382166.728249,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1966-Q2,426247.397246,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1967-Q1,448595.308394,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1967-Q2,509594.188601,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1968-Q1,532224.25272,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1968-Q2,587744.579648,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1969-Q1,603052.624608,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1969-Q2,715351.501255,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1970-Q1,745162.009544,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1970-Q2,845771.976519,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1971-Q1,864264.461729,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1971-Q2,985963.120053,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1972-Q1,1009163.472157,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1972-Q2,1255144.033856,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1973-Q1,1286704.289371,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1973-Q2,1544793.500674,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1974-Q1,1617400.532989,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1974-Q2,1634803.289585,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1975-Q1,1641107.364632,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1975-Q2,1861205.625487,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1976-Q1,1864373.116619,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1976-Q2,2045649.920224,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1977-Q1,2041040.757019,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1977-Q2,2139817.228183,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1978-Q1,2115624.854148,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1978-Q2,2391531.576944,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1979-Q1,2365257.452363,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1979-Q2,2643891.986219,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1980-Q1,2711660.543727,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1980-Q2,2903687.076442,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1981-Q1,2901483.691046,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1981-Q2,3170007.577258,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1982-Q1,3181598.780247,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1982-Q2,3335031.173299,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1983-Q1,3338426.979026,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1983-Q2,3639109.324933,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1984-Q1,3770462.001711,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1984-Q2,4065827.309467,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1985-Q1,4238081.200028,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1985-Q2,4519043.74515,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1986-Q1,4518882.230021,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1986-Q2,4939164.534589,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1987-Q1,5112835.172048,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1987-Q2,5654590.811366,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1988-Q1,5953282.134361,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1988-Q2,6518075.613647,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1989-Q1,6354967.267988,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1989-Q2,7082327.718151,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1990-Q1,6867293.255677,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1990-Q2,6924631.126304,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1991-Q1,7090208.061212,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1991-Q2,6905531.463852,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1992-Q1,6607735.453112,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1992-Q2,6384234.407481,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1993-Q1,6454525.392614,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1993-Q2,6511199.256601,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1994-Q1,6474484.47507,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1994-Q2,6720975.504335,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1995-Q1,6694484.032236,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1995-Q2,7101850.111556,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1996-Q1,7037949.941077,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1996-Q2,7356808.720985,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1997-Q1,7158243.816586,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1997-Q2,7530655,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1998-Q1,6784567,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1998-Q2,7011086,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1999-Q1,7474208,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
1999-Q2,7953234,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2000-Q1,7525801,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2000-Q2,7510129,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2001-Q1,7056537,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2001-Q2,7188901,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2002-Q1,7153490,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2002-Q2,6962426,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2003-Q1,7485831,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2003-Q2,7772774,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2004-Q1,8175582,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2004-Q2,8290801,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2005-Q1,8151553,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2005-Q2,9081919,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2006-Q1,8959355,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2006-Q2,9584703,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
2007-Q1,9382897,boj_ffa_corp_liab,JP,亿日元,BOJ FFA 非金融法人企業 負債 stock 亿日元 自然季 (旧FFSA260L400 1964Q2-1999Q1 ratio-0.99x spliced to 新FFAS410L900 1997Q2-2026Q1; cutoff 2026-08-31)
