quarter,value,variable,country,unit,source_note
1999-Q1,0.013748,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
1999-Q2,0.023884,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
1999-Q3,0.027276,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
1999-Q4,0.032607,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2000-Q1,0.033416,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2000-Q2,0.044624,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2000-Q3,0.048699,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2000-Q4,0.051775,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2001-Q1,0.044353,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2001-Q2,0.049777,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2001-Q3,0.049524,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2001-Q4,0.050469,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2002-Q1,0.037192,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2002-Q2,0.046972,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2002-Q3,0.049837,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2002-Q4,0.051951,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2003-Q1,0.056507,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2003-Q2,0.058333,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2003-Q3,0.058296,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2003-Q4,0.057978,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2004-Q1,0.061424,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2004-Q2,0.061671,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2004-Q3,0.06115,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
2004-Q4,0.060387,corporate_profitability,CN,ratio,NBS 规模以上工业企业主要经济指标 月度累计值→季度末YTD 营业收入利润率=利润总额/营业收入(2018及以前为主营业务收入) 全国 连续段2011Q1-2026Q2(2007-2010 GAP;2011口径调整;2019主营业务收入→营业收入) 源:data.stats.gov.cn /stream/esData; 前导稀疏点(2007-2010 库内 GAP)仅作 extended 参考不进主窗
