quarter,value,variable,country,unit,source_note
2013-Q1,1.7333,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2013-Q2,1.7667,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2013-Q3,1.6333,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2013-Q4,1.8,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2014-Q1,1.8,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2014-Q2,1.6667,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2014-Q3,1.6,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2014-Q4,1.3333,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2015-Q1,1.4333,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2015-Q2,1.6,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2015-Q3,1.6667,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2015-Q4,1.5,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2016-Q1,1.4333,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2016-Q2,1.5667,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2016-Q3,1.7,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2016-Q4,1.8667,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2017-Q1,2.0,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2017-Q2,2.1333,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2017-Q3,2.2,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2017-Q4,2.2667,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2018-Q1,2.1333,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
2018-Q2,1.9333,d_cpi_core,CN,yoy_pct,"NBS 官方月度 CPI 新闻稿""不包括食品和能源""行转录(Trendonify 交叉);季均(与 headline 同法);2013Q1 起(官方 core CPI 2013+ 结构性起点);用户外部采集 2026-09-08"
