input_id,input_file,role,source_package_id,source_package_sha256,artifact_sha256,materialized_target_path,note
h6b_d_cpi_core_jp,h6b_d_cpi_core_jp.csv,B3_SUPPLEMENT,JP-HIST_H6B_B3_审核包_20260907.zip,fc4c7b46e700e8d9360f7159399645637db33fdb5fa04a7e398ac4c90b10dc4d,81416cc0dcc993652ea4de35a71a03e4eaa14633330df1039bdf09a5b867d363,02_standardized/h6b/h6b_d_cpi_core_jp.csv,D module JP core CPI YoY [B3.6: exact parent = JP-HIST_H6B_B3_审核包_20260907.zip]
h6b_d_cpi_headline_cn,h6b_d_cpi_headline_cn.csv,B3_SUPPLEMENT,JP-HIST_H6B_B3_审核包_20260907.zip,fc4c7b46e700e8d9360f7159399645637db33fdb5fa04a7e398ac4c90b10dc4d,9762d30c9a89d9369b53850d1663d849ec25c10f8cdf5b66727a9498a4d5e01c,02_standardized/h6b/h6b_d_cpi_headline_cn.csv,D module CN CPI headline YoY [B3.6: exact parent = JP-HIST_H6B_B3_审核包_20260907.zip]
h6b_d_cpi_headline_jp,h6b_d_cpi_headline_jp.csv,B3_SUPPLEMENT,JP-HIST_H6B_B3_审核包_20260907.zip,fc4c7b46e700e8d9360f7159399645637db33fdb5fa04a7e398ac4c90b10dc4d,230c7a7c71b0cd54cd31ba6a459959cec53ead4b78332d43a985d191061f85d1,02_standardized/h6b/h6b_d_cpi_headline_jp.csv,D module JP CPI headline YoY [B3.6: exact parent = JP-HIST_H6B_B3_审核包_20260907.zip]
h6b_d_gdp_deflator_jp,h6b_d_gdp_deflator_jp.csv,B3_SUPPLEMENT,JP-HIST_H6B_B3_审核包_20260907.zip,fc4c7b46e700e8d9360f7159399645637db33fdb5fa04a7e398ac4c90b10dc4d,c849515e440eb2c6a30ea37b151504b7894788d179b0d4fd2316cfef7c1667da,02_standardized/h6b/h6b_d_gdp_deflator_jp.csv,D module JP GDP deflator YoY (1995Q1+) [B3.6: exact parent = JP-HIST_H6B_B3_审核包_20260907.zip]
h6b_d_ppi_cn,h6b_d_ppi_cn.csv,B3_SUPPLEMENT,JP-HIST_H6B_B3_审核包_20260907.zip,fc4c7b46e700e8d9360f7159399645637db33fdb5fa04a7e398ac4c90b10dc4d,7bd20fd8c4d6d707c85d0ac94d5805178a94eaf3effead4f9601fb8f7327d3f0,02_standardized/h6b/h6b_d_ppi_cn.csv,D module CN PPI YoY [B3.6: exact parent = JP-HIST_H6B_B3_审核包_20260907.zip]
h6b_d_ppi_jp,h6b_d_ppi_jp.csv,B3_SUPPLEMENT,JP-HIST_H6B_B3_审核包_20260907.zip,fc4c7b46e700e8d9360f7159399645637db33fdb5fa04a7e398ac4c90b10dc4d,3eb5aa6656998e32503b161bdc538e5e0758e10525705c21bdaf1c07c48e13b8,02_standardized/h6b/h6b_d_ppi_jp.csv,D module JP PPI YoY [B3.6: exact parent = JP-HIST_H6B_B3_审核包_20260907.zip]
h6b_mof_identity_qc,h6b_mof_identity_qc.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,44d51be7a791ce0a8102b6238936fdb9ef3dc21adb365ce4a0b81502c9e911f3,02_standardized/h6b/h6b_mof_identity_qc.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_boj_ffa_corp_liab,h6b_q_boj_ffa_corp_liab.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,dd92ef80128197e09160e667d12904da0ed5de3b0c1388faf69a7f8568600f74,02_standardized/h6b/h6b_q_boj_ffa_corp_liab.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_cn_fai_yoy_q,h6b_q_cn_fai_yoy_q.csv,B3_SUPPLEMENT,JP-HIST_H6B_B3.1_审核包_20260907.zip,1006ddb1f06cd51d35858d967e6b47f8f5f0a13990ff6d75452269daac16269a,33b2743a1e3241fb53df3672af7bb50e28dc22f8446d4a8a367b1d7969375c7c,02_standardized/h6b/h6b_q_cn_fai_yoy_q.csv,"B4 CN I proxy (quarter-end cumulative YoY, sign -1); B3.1 corrected [B3.6: exact parent = JP-HIST_H6B_B3.1_审核包_20260907.zip]"
h6b_q_cn_pboc_sector_credit,h6b_q_cn_pboc_sector_credit.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,e707b4a6fb30a89b9b14373ccc0c5607f77718c72ceb33c1eb5a3e8e59b70162,02_standardized/h6b/h6b_q_cn_pboc_sector_credit.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_cn_pboc_sector_credit_yoy,h6b_q_cn_pboc_sector_credit_yoy.csv,B3_SUPPLEMENT,JP-HIST_H6B_B3_审核包_20260907.zip,fc4c7b46e700e8d9360f7159399645637db33fdb5fa04a7e398ac4c90b10dc4d,8aaa3d228c06a1ee9359965b4f79acf4b2e0eb77da88efae257a4d9ffa35da9b,02_standardized/h6b/h6b_q_cn_pboc_sector_credit_yoy.csv,B3b CN demand proxy (PBOC sector credit YoY) [B3.6: exact parent = JP-HIST_H6B_B3_审核包_20260907.zip]
h6b_q_cn_policy_rate_stance,h6b_q_cn_policy_rate_stance.csv,B3_SUPPLEMENT,JP-HIST_H6B_B3_审核包_20260907.zip,fc4c7b46e700e8d9360f7159399645637db33fdb5fa04a7e398ac4c90b10dc4d,0862643afc05d3850c464d7b276f5fa2863f77a6a30db658c974745a14455bdc,02_standardized/h6b/h6b_q_cn_policy_rate_stance.csv,"B3b CN stance (1Y LPR/benchmark, regime break 2019Q3) [B3.6: exact parent = JP-HIST_H6B_B3_审核包_20260907.zip]"
h6b_q_corporate_land_share,h6b_q_corporate_land_share.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,1c2982fd5f9a6b5060cd038831a4c80b3d1030cce18ce9cada6990e36622e982,02_standardized/h6b/h6b_q_corporate_land_share.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_corporate_leverage,h6b_q_corporate_leverage.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,fcea783ebd5b98d4c64ed90ebc351766a916e259b28c3c83753b040e1637b8b3,02_standardized/h6b/h6b_q_corporate_leverage.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_corporate_leverage_cn,h6b_q_corporate_leverage_cn.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,cc956ef688b8636bddd9400546c75955cd390e83fdf1a01064ed7a0870ff3f3c,02_standardized/h6b/h6b_q_corporate_leverage_cn.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_corporate_leverage_cn_leading_sparse,h6b_q_corporate_leverage_cn_leading_sparse.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,737aed4604022c0a46fefcb49ca731124fbf540d634b64b439becfe6735b204b,02_standardized/h6b/h6b_q_corporate_leverage_cn_leading_sparse.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_corporate_profitability,h6b_q_corporate_profitability.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,6bab6bda5e5926d02669640d336d5b447c02c68575862c32c846dff06adb0ffd,02_standardized/h6b/h6b_q_corporate_profitability.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_corporate_profitability_cn,h6b_q_corporate_profitability_cn.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,3679c53abc0e9ba63c65592d3aa85ad5865450f49f2f810fc114fcf6e263bdb2,02_standardized/h6b/h6b_q_corporate_profitability_cn.csv,B1 frozen analysis/aux series (B1.3 manifest)
h6b_q_corporate_profitability_cn_leading_sparse,h6b_q_corporate_profitability_cn_leading_sparse.csv,B1_FROZEN_standardized,JP-HIST-H6B-B1.3-20260907,921e17e80b802347b250372aed07d3647abac35811b59ad8678620b4c19a7412,7dce70a84c93bd339f5e1b2c434ce98cb6178d23e02ee26dcb7cb7257e14ad12,02_standardized/h6b/h6b_q_corporate_profitability_cn_leading_sparse.csv,B1 frozen analysis/aux series (B1.3 manifest)
