variable_id,country,module,concept,preferred_freq,fallback_freq,target_start,actual_start,official_provider,source_url,format,machine_readable,definition_breaks,vintage_status,comparison_role,cn_gap_type,priority,status,estimated_cost,note
cn.hist.real_gdp_yoy,CN,GROWTH,Real GDP YoY,Q,Y,2000,1992Q1(季度累计)/1952(年度),NBS 国家统计局,https://data.stats.gov.cn/easyquery.htm?cn=A01,e-Stat 同款/easyquery,TRUE,2017GDP核算改革(SNA08); 季度累计值口径; 项目catalog已采2008+但官方季度1992+,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,CN_GAP_DATA,P0,GREEN,低,2000-2008段官方有源未采(项目PIT从2008起); H1-P0 CN侧补采即可
cn.hist.nominal_gdp_yoy,CN,GROWTH,Nominal GDP YoY,Q,Y,2000,1992Q1/1952,NBS,https://data.stats.gov.cn/easyquery.htm?cn=A01,API/CSV,TRUE,同real_gdp,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,CN_GAP_DATA,P0,GREEN,低,
cn.hist.investment_gdp,CN,GROWTH,Capital formation / GDP (or FAI),Y,Q,2000,1992(资本形成GDP核算)/1981(FAI年度),NBS,https://data.stats.gov.cn/easyquery.htm?cn=C01,API/CSV,TRUE,FAI口径多次调整(2011起不含农户; 规模起点); 建议用SNA资本形成率(GDP同源)优先,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,CN_GAP_DATA,P0,GREEN,低-中,JP投资share为SNA口径; CN用资本形成率更可比(勿用FAI月度)
cn.hist.iip_yoy,CN,GROWTH,Industrial production YoY (规模以上工业增加值),M,Y,2000,1995(规上工业月度)/1952(工业总产值年度),NBS,https://data.stats.gov.cn/easyquery.htm?cn=A01,API/CSV,TRUE,规上口径1998(500万)/2011(2000万)调整; 增速可比段需锚; 项目catalog ip_yoy 2008+,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,CN_GAP_DATA,P1,AMBER,中,2000s早期规上工业增加值月度可得性需H1验证(有官方年鉴工业总产值年度兜底)
cn.hist.corp_profit_yoy,CN,GROWTH,Industrial enterprises profit growth,Y,Q,2000,1996(规上工业利润)/1998(月度口径),NBS,https://data.stats.gov.cn/easyquery.htm?cn=A01,API/CSV,TRUE,规上口径调整同IIP; 仅工业部门(非全企业); JP法人企業統計覆盖全行业→口径不完全对称,RETROSPECTIVE_HISTORICAL,SUPPORT_COMPARABLE,CN_GAP_COMPARABILITY,P1,AMBER,中,CN无全企业利润统计(仅规上工业/上市); 用GROWTH模式+注记口径差
cn.hist.cpi_yoy,CN,INFLATION,CPI YoY,M,Y,2000,1986(月度)/1951(年度),NBS,https://data.stats.gov.cn/easyquery.htm?cn=A01,API/CSV,TRUE,基期修订(每5年)/分类权重调整; 官方长表回溯至2001+数据质量稳定; 项目catalog cpi_yoy 2008+,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,CN_GAP_DATA,P0,GREEN,低,2000-2008段官方月度有源未采
cn.hist.gdp_deflator_yoy,CN,INFLATION,GDP deflator YoY,Y,Q,2000,1992/1952,NBS(派生),https://data.stats.gov.cn/easyquery.htm?cn=C01,derived,TRUE,同GDP核算改革,RETROSPECTIVE_HISTORICAL,SUPPORT_COMPARABLE,CN_GAP_DATA,P1,GREEN,低,名义/实际GDP派生
cn.hist.m2_yoy,CN,MONEY_CREDIT,M2 growth,M,Y,2000,1996(月度口径稳定),PBOC 中国人民银行,https://www.pbc.gov.cn/diaochatongjisi/114219/113225/index.html,HTML/API,TRUE,M2统计1994建立/2001修订(含证券公司客户保证金→剔除?); 2019后央行统计口径微调; 项目catalog m2_yoy 2008+,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,CN_GAP_DATA,P0,GREEN,低,1996-2007段央行月报/年鉴可采; FRED CN M2亦1960s+但口径注意(IMF镜像)
cn.hist.policy_rate,CN,MONEY_CREDIT,Policy rate (贷款基准利率/逆回购/LPR),M,Event,2000,1991(贷款基准利率调整史),PBOC,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125440/index.html,HTML,部分,制度多次转型: 贷款基准利率(1991+管制)→2015后7D逆回购主导→2019LPR; JP公定步合1995后亦制度中断——两端皆PERCENTILE_ONLY,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,CN_GAP_COMPARABILITY,P0,AMBER,中,制度不可绝对映射(JP ODR vs CN基准/LPR/DR007); 必须PERCENTILE_ONLY; 2000s用1Y贷款基准利率作proxy
cn.hist.cgb10y,CN,MONEY_CREDIT,CGB 10Y yield,M,D,2002,2002(中债估值)/1997(交易所国债),中债登/CFETS,https://yield.chinabond.com.cn/cbweb-mn/yield_main,CSV(需登录),部分,2002前中国国债市场容量小/无活跃长端; 中债到期收益率曲线2002+; 与JP 1974+均constant-maturity概念,RETROSPECTIVE_HISTORICAL,CORE_COMPARABLE,CN_GAP_DATA,P1,AMBER,中,项目catalog cn10y 2008+(来源东财); 2002-2007官方中债曲线可回溯但需验证免费窗口
