concept,module,jp_variable,cn_variable,comparability_mode,institutional_comparability,unit_match,frequency_match,transform_rule,comparison_eligible,comparison_grade,cn_earliest_window_note,note
real_gdp_yoy,GROWTH,jp.hist.real_gdp_yoy,cn.hist.real_gdp_yoy,GROWTH,HIGH,TRUE,TRUE,within-regime YoY (68SNA段/现基准各自算后比),TRUE,A,CN窗A(2000-2010)可得(官方1992Q1+),"JP跨SNA用regime内YoY, 禁level concat"
nominal_gdp_yoy,GROWTH,jp.hist.nominal_gdp_yoy,cn.hist.nominal_gdp_yoy,GROWTH,HIGH,TRUE,TRUE,within-regime YoY,TRUE,A,CN窗A可得,
investment_gdp,GROWTH,jp.hist.investment_gdp,cn.hist.investment_gdp,GROWTH,MEDIUM,TRUE,PARTIAL,"SNA口径投资/GDP同regime比率; CN用资本形成率, 勿用FAI口径",TRUE,B,CN窗A可得(1992+),JP68SNA民间投资share vs CN资本形成率: 口径差注记; ratio用同regime分子分母
iip_yoy,GROWTH,jp.hist.iip_yoy,cn.hist.iip_yoy,GROWTH,MEDIUM,TRUE,TRUE,YoY; JP 1970-77无官方月频→annual proxy; CN规上工业口径内YoY,TRUE,B,CN窗A可得(月度1995+需核); 若仅年度工业总产值则降Y,JP 1978+/CN 1995+皆可得; 两端口径非同一产业定义但同为工业活动增速
corp_profit_yoy,GROWTH,jp.hist.corp_profit_yoy,cn.hist.corp_profit_yoy,GROWTH,LOW,TRUE,TRUE,YoY + percentile双重; JP全行业ordinary profit vs CN规上工业利润→建议PERCENTILE_ONLY增强,TRUE,B,CN窗A可得(规上工业利润1996+),"口径不对称(全行业vs工业): 增长率可粗略比, 结论需module级稳健性"
cpi_yoy,INFLATION,jp.hist.cpi_yoy,cn.hist.cpi_yoy,ABSOLUTE,HIGH,TRUE,TRUE,CPI YoY (各基准内),TRUE,A,CN窗A可得(月度1986+),v1.1示例: CPI inflation=ABSOLUTE
gdp_deflator_yoy,INFLATION,jp.hist.gdp_deflator_yoy,cn.hist.gdp_deflator_yoy,ABSOLUTE,HIGH,TRUE,TRUE,deflator YoY (regime内),TRUE,B,CN窗A可得,"次级通胀度量(CPI为主), deflator作SUPPORT"
m2_yoy,MONEY_CREDIT,jp.hist.m2_yoy,cn.hist.m2_yoy,GROWTH,HIGH,TRUE,TRUE,"regime内M2 YoY(JP OLD/REF/CURRENT分段, CN口径内)",TRUE,A,CN窗A可得(1996+),禁level concat两端口径
policy_rate,MONEY_CREDIT,jp.hist.policy_rate,cn.hist.policy_rate,PERCENTILE_ONLY,LOW,PARTIAL,TRUE,within-country historical percentile ONLY; 禁绝对百分点跨国产距,TRUE,B,CN窗A可得但制度不同(基准利率vs公定步合),v1.1硬规则: institutional=LOW→PERCENTILE_ONLY强制; JP ODR 1995后零利率段与CN 2000s高利率段绝不可绝对比
jgb10y,MONEY_CREDIT,jp.hist.jgb10y,cn.hist.cgb10y,PERCENTILE_ONLY,LOW,PARTIAL,TRUE,within-country percentile; JP 1974+/CN 2002+,TRUE,B,CN窗A后段(2002+)才可得→窗A前半缺,利率水平类=LOW comparability→percentile; JP早期段(1970-74)无constant-maturity→该窗jgb缺
corp_leverage,MONEY_CREDIT,jp.hist.corp_leverage,cn.hist.corp_leverage,PERCENTILE_ONLY,LOW,PARTIAL,TRUE,within-country percentile(负债率结构跨金融体系不可绝对比),TRUE,C,CN窗A可得(1998+),JP全行业 vs CN规上工业+金融结构差异(银行主导度)→PERCENTILE_ONLY保守
credit_gdp,MONEY_CREDIT,jp.hist.credit_gdp,cn.hist.credit_gdp,GROWTH,MEDIUM,PARTIAL,PARTIAL,JP BIS信贷1964+; CN社融存量(2015公布/2002追溯)或人民币贷款余额; 用credit growth比,TRUE,C,CN窗A: 2000-2002社融缺→用贷款余额proxy; 2015前无官方社融存量月序列,SUPPORT级; JP BIS vs CN社融口径概念差(社融含直接融资); 若不可靠降至SUPPORT-only不参与主结论
export_yoy,EXTERNAL,jp.hist.export_yoy,cn.hist.export_yoy,GROWTH,HIGH,TRUE,TRUE,出口YoY(JP日元口径/CN美元口径各自国内),TRUE,A,CN窗A可得,
trade_balance_gdp,EXTERNAL,jp.hist.trade_balance_gdp,cn.hist.trade_balance_gdp,ABSOLUTE,MEDIUM,TRUE,PARTIAL,贸易差额/GDP(各自国内同regime比率),TRUE,B,CN窗A可得,ratio同regime; 分母GDP用当年汇率折算风险→CN用RMB折GDP? 待H3决定分子分母币种规则
fx_usdjpy,EXTERNAL,jp.hist.fx_usdjpy,cn.hist.fx_usdcny,EVENT_ONLY,LOW,NA,TRUE,"固定汇率段剔除(JP 1971前/CN 2005前≈盯住), 仅浮动段变化率描述; 不进距离计算",FALSE,C,CN浮动段2005-07+才有汇率变化含义,"两国皆曾固定汇率: 汇率变化仅事件层/描述性, 不进similarity(评审书修订项三规则)"
reer,EXTERNAL,jp.hist.reer,cn.hist.reer,GROWTH,MEDIUM,TRUE,TRUE,REER变化率(各自BIS口径); 固定段波动≈0剔除,TRUE,B,CN窗A可得(1994+),SUPPORT; BIS窄口径1964+/CN 1994+
land_property_price_yoy,PROPERTY_ASSET,jp.hist.land_price_yoy,cn.hist.property_price_yoy,GROWTH,MEDIUM,TRUE,TRUE,JP地价YoY vs CN新房价格YoY(proxy)各自国内; percentile辅助,TRUE,C,CN窗A: 2000-2005仅35城季度/2005-07后70城; 2011口径调整,"CN官方无全国连续地价指数→新房价格作proxy, 明确EVENT/PERCENTILE边界; JP地价源H0.7定(市街地/公示)"
equity_return,PROPERTY_ASSET,jp.hist.nikkei_return,cn.hist.equity_return,ABSOLUTE,MEDIUM,TRUE,TRUE,名义收益率(年度/多年); JP N225 proxy vs CN上证(2000s)/HS300(2005+),TRUE,B,CN窗A可用上证综指(1990+),"asset层与macro层分开报告; 非TRI(JP N225 PRICE PROXY, CN价格指数)"
working_age_growth,DEMOGRAPHY_LABOR,jp.hist.working_age_growth,cn.hist.working_age_growth,GROWTH,MEDIUM,PARTIAL,TRUE,劳动年龄人口增速(JP 15-64; CN官方15-59需口径注记或转15-64估算),TRUE,B,CN窗A可得(普查+推算),年龄线差(15-64 vs 15-59): CN若转15-64需估算→标PARTIAL; 结构变化形态仍可比
unemployment,DEMOGRAPHY_LABOR,jp.hist.unemployment,cn.hist.unemployment,ABSOLUTE,HIGH,TRUE,TRUE,调查失业率水平(ILO同口径); JP LFS 1953+ vs CN调查失业率2018+,TRUE,C,**CN窗A-D全部早期不可得**: 2018+才可; 登记失业率(1978+)不可比不采,CN早期窗结构性缺该变量→coverage会体现; 2018+窗才参与; 这是CN_GAP_COMPARABILITY最硬案例
wage_yoy,DEMOGRAPHY_LABOR,jp.hist.wage_yoy,cn.hist.wage_yoy,GROWTH,MEDIUM,TRUE,PARTIAL,名义工资增速(JP每月勤労月/CN城镇单位年度); CN频率降Y,TRUE,C,CN窗A可得(年度1978+),JP月度vs CN年度→annual对齐; JP AMBER(2019样本改定)
dependency_ratio,DEMOGRAPHY_LABOR,jp.hist.dependency_ratio,cn.hist.dependency_ratio,ABSOLUTE,MEDIUM,PARTIAL,TRUE,老年抚养比(JP 65+/15-64; CN 65+/15-59或60+),TRUE,B,CN窗A可得,年龄线差注记; 相对位置(percentile)更稳
tfr,DEMOGRAPHY_LABOR,jp.hist.tfr,cn.hist.tfr,EVENT_ONLY,MEDIUM,TRUE,FALSE,"普查锚点对照(JP年度 vs CN 1982/90/2000/10/20锚点); 描述性, 不进fixed-lag距离",FALSE,C,CN仅普查锚点无年度→任何fixed-lag窗均不可用为年度序列,CN官方无年度TFR=CN_GAP_COMPARABILITY结构性约束; 保留为锚点级/解释层; 与FX同规则(eligible=FALSE)
birth_rate,DEMOGRAPHY_LABOR,jp.hist.birth_rate,cn.hist.birth_rate,GROWTH,MEDIUM,TRUE,TRUE,CBR(千分比)各国内轨迹比较; 辅以TFR锚点交叉验证(规避年龄结构干扰),TRUE,B,CN窗A-D全可得(1949+); JP 1970-1995段全可得(1947+),两国官方年度CBR齐全=新增真可比变量; CN普查修订(2020对2011-19下修)注记; GROWTH模式比较下降轨迹
youth_dependency,DEMOGRAPHY_LABOR,jp.hist.youth_dependency,cn.hist.youth_dependency,ABSOLUTE,MEDIUM,PARTIAL,TRUE,0-14/15-64比率水平; 两国同定义(15-64抚养比口径),TRUE,B,CN窗A-D可得(普查+推算),与existing dependency_ratio(老年)合成抚养比双侧; CN劳动年龄口径15-59/16-59并存需注记(registry已有)
