year,value,variable,country,unit,source_note
1978,38.2,investment_gdp,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1979,36.1,investment_gdp,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1980,34.8,investment_gdp,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1981,32.5,investment_gdp,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1982,31.9,investment_gdp,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1983,32.8,investment_gdp,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1984,34.2,investment_gdp,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1985,38.1,investment_gdp,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1986,37.5,investment_gdp,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
1987,36.3,investment_gdp,cn,pct,"JOINED: H2 frozen (2000-2012) + H1P1 extension (2013-2025); World Bank NE.GDI.TOTL.ZS (NBS SNA republished, revised post-4th-census benchmark); 2013-2024; DEFINITION BREAK vs H2 2000-2012 (2013年鉴旧基准, junction 2012: 47.76 vs WB 45.82, ~2pp SNA revision)"
